Issue type	Key words
Shipment status	Ship
	delivery
	shipping
	status
	when will receive order
	receive by today
	ship out
Order status	status of my order
	shipped out?
Cancellation request	revoke
	withdraw
	cancel
	reject
change request	change size
	change color
	change address
	change mobile number
Restock	when will be available
	product available
	size available
	color available
	restock
size recommendation	size
	UK
	US
	Euro
	what size should I take
Return & refund	too big
	too small
	fit
	return
	damaged product
	refund
exchange	exchange
	change of size
parcel damaged	damaged box
product query	waterproof
	will be fit
	warranty
promotions	discount
	sale
	live
	vouchers
Invoice	Invoice
	receipt
	OR
	Official receipt
Product quality	defected
	damaged
	sole separation
	Deviate nitro
